Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
188,28.6723,28.9618,28.8459,23.3425
189,30.7973,30.8474,30.9070,27.0878
190,31.8707,32.0770,31.7563,29.8598
191,22.9586,21.9654,23.0427,25.4737
192,22.0394,20.8347,21.9046,19.8633
193,10.5508,10.3611,10.5602,11.9964
194,8.0227,7.6958,8.0850,10.0201
195,5.7619,5.7619,5.7619,6.5602
196,5.9395,5.9395,5.9395,6.1620
197,7.9975,7.9975,7.9975,8.0124
198,5.2345,5.2345,5.2345,5.2854
199,5.2512,5.2512,5.2512,5.2510
200,5.3836,5.3836,5.3836,5.3835
201,5.4767,5.4767,5.4767,5.4756
202,5.5709,5.5709,5.5709,5.5708
203,5.7202,5.7202,5.7202,5.7200
204,5.7761,5.7761,5.7761,5.7717
205,6.1613,6.1613,6.1613,6.1601
206,6.4773,6.4773,6.4773,6.4716
207,6.8458,6.8458,6.8458,6.8198
208,5.8315,5.8315,5.8315,6.2440
209,4.2691,4.2691,4.2691,4.2349
210,5.2071,5.2071,5.2071,5.1950
211,5.5617,5.5617,5.5617,5.5610
212,6.3275,6.3275,6.3275,6.3241
