Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
165,29.4556,27.2334,25.0094,26.3623,30.9106,32.1629,31.8214,31.7907,33.2057,35.0307
166,34.4449,33.0696,28.2153,34.1187,37.2985,32.1766,31.8289,31.7692,33.2112,35.0443
167,34.3804,32.6479,34.0703,36.6387,37.6930,32.1898,31.8338,31.7830,33.2317,35.0602
168,33.5280,31.4130,35.1702,35.1153,38.0939,32.1978,31.8313,31.8031,33.2429,35.0783
169,37.9985,35.6364,36.4374,39.6385,42.0127,32.2321,31.8538,31.8306,33.2807,35.1193
170,33.1188,32.3225,32.3753,33.7992,35.6310,32.2373,31.8566,31.8338,33.2838,35.1223
171,37.0063,34.1746,32.9379,34.9544,38.6998,32.2652,31.8701,31.8402,33.2936,35.1432
172,39.4977,37.4233,34.5809,38.8958,43.5334,32.3073,31.9024,31.8562,33.3261,35.1920
173,39.8151,37.7030,36.8552,37.8488,44.0278,32.3507,31.9359,31.8851,33.3523,35.2431
174,41.5964,38.1289,38.6573,38.0660,45.7915,32.4038,31.9715,31.9240,33.3794,35.3037
175,39.0171,33.1104,36.7694,32.3938,35.1785,32.4416,31.9780,31.9517,33.3737,35.3030
176,30.8445,30.0050,34.4476,32.2600,34.3750,32.4325,31.9668,31.9659,33.3674,35.2977
177,28.7716,29.2464,30.0493,32.3023,33.7463,32.4118,31.9515,31.9550,33.3614,35.2890
178,29.5067,27.6964,27.1896,32.1432,32.6187,32.3955,31.9276,31.9283,33.3545,35.2740
179,29.4026,27.4072,26.2142,31.8635,32.3616,32.3788,31.9023,31.8963,33.3462,35.2577
180,27.5716,27.8501,29.1198,31.0059,32.7234,32.3521,31.8798,31.8809,33.3332,35.2436
181,27.4988,27.7036,32.0504,31.0499,31.9178,32.3253,31.8567,31.8818,33.3206,35.2252
182,31.1151,27.5215,29.9128,28.6497,29.8096,32.3186,31.8329,31.8710,33.2949,35.1955
183,38.7972,31.9078,26.5350,27.7881,30.5884,32.3540,31.8333,31.8419,33.2648,35.1703
184,33.5605,30.7878,24.1641,31.2360,33.3818,32.3606,31.8276,31.8001,33.2538,35.1606
185,35.8602,32.4715,25.6967,32.0849,37.0760,32.3795,31.8311,31.7671,33.2475,35.1709
186,37.2143,34.5535,28.9088,36.2663,37.8494,32.4055,31.8457,31.7518,33.2637,35.1853
187,32.8195,30.7962,29.0914,33.8081,35.0240,32.4077,31.8401,31.7376,33.2666,35.1845
188,34.9081,32.1036,29.9325,31.8373,41.0512,32.4210,31.8415,31.7280,33.2590,35.2157
189,36.9151,31.5787,30.5155,35.2794,38.8191,32.4448,31.8401,31.7215,33.2697,35.2347
190,36.8507,35.1909,32.3228,37.4817,42.4595,32.4680,31.8578,31.7247,33.2919,35.2728
191,39.1857,37.3644,34.2952,38.8718,40.5732,32.5031,31.8866,31.7382,33.3211,35.3005
192,38.8173,36.8636,36.2229,40.2175,41.3096,32.5360,31.9125,31.7615,33.3570,35.3318
193,35.2363,30.8958,33.8569,38.0931,39.3324,32.5500,31.9073,31.7724,33.3816,35.3525
194,35.7671,30.1842,30.9674,36.9887,40.4243,32.5666,31.8984,31.7682,33.4002,35.3787
195,24.3033,24.6923,25.5066,25.3785,34.8256,32.5242,31.8614,31.7361,33.3590,35.3758
196,25.6195,24.3892,23.7233,27.1480,27.1480,32.4890,31.8233,31.6952,33.3273,35.3339
197,23.0918,22.2555,20.8438,24.7650,28.0647,32.4413,31.7747,31.6401,33.2839,35.2970
198,21.7074,20.6614,19.8469,22.7130,28.8032,32.3871,31.7186,31.5806,33.2305,35.2642
199,20.3522,19.3663,19.3042,21.0119,28.0177,32.3266,31.6565,31.5189,33.1691,35.2278
200,18.2765,17.2500,19.0625,15.6675,28.5472,32.2564,31.5845,31.4566,33.0816,35.1944
201,18.2999,17.1014,18.4569,15.8741,28.6705,32.1869,31.5125,31.3919,32.9960,35.1619
202,18.8819,18.1625,18.8452,16.2105,29.4065,32.1211,31.4464,31.3298,32.9129,35.1334
203,19.0378,18.2494,19.2776,16.2204,29.9459,32.0566,31.3814,31.2705,32.8306,35.1079
204,20.3671,19.2494,19.5358,19.6316,26.0227,31.9993,31.3219,31.2129,32.7659,35.0633
205,20.5888,19.4236,19.2479,20.1566,25.6472,31.9436,31.2638,31.1546,32.7044,35.0174
206,20.0112,18.4995,18.1769,19.7132,23.6924,31.8857,31.2019,31.0916,32.6414,34.9624
207,21.0860,19.5757,18.8654,20.9631,22.8451,31.8336,31.1457,31.0325,32.5849,34.9039
208,23.8651,22.9067,23.8814,23.0320,30.7531,31.7952,31.1061,30.9981,32.5390,34.8839
209,23.3855,22.4500,23.7822,22.1525,30.8550,31.7550,31.0647,30.9636,32.4893,34.8646
210,23.6009,22.6861,24.0136,21.9910,31.4209,31.7162,31.0248,30.9305,32.4393,34.8482
211,24.2843,23.7294,24.7430,23.9971,27.9561,31.6810,30.9902,30.9012,32.3993,34.8156
212,24.2656,24.0578,25.8256,23.9480,28.9560,31.6460,30.9575,30.8772,32.3595,34.7879
213,24.4430,24.4709,26.2168,24.5283,30.7086,31.6122,30.9271,30.8554,32.3227,34.7688
214,24.7822,23.7472,26.2252,23.9510,29.7433,31.5802,30.8935,30.8337,32.2836,34.7453
215,24.8658,24.0153,26.4476,24.9229,28.5828,31.5490,30.8615,30.8133,32.2493,34.7166
216,25.8238,24.0715,26.4497,21.4293,32.8030,31.5225,30.8301,30.7931,32.1992,34.7078
217,25.5543,23.4204,26.2669,21.6676,28.4639,31.4950,30.7959,30.7723,32.1507,34.6790
218,25.8698,23.3600,26.2590,22.0808,28.6697,31.4692,30.7618,30.7516,32.1045,34.6514
219,24.4035,24.8265,26.6556,24.3394,28.7871,31.4369,30.7347,30.7329,32.0691,34.6247
220,25.8072,25.5567,22.6924,25.4864,26.9363,31.4113,30.7112,30.6963,32.0391,34.5897
221,25.6020,26.4778,21.4521,24.4669,29.2504,31.3851,30.6920,30.6545,32.0049,34.5656
222,28.6996,28.4354,22.8087,28.8712,29.3885,31.3730,30.6819,30.6191,31.9908,34.5422
223,29.8176,29.5764,24.1875,30.1949,30.7582,31.3660,30.6769,30.5903,31.9827,34.5253
224,32.4541,32.3317,25.7209,32.1925,32.9604,31.3708,30.6843,30.5686,31.9836,34.5183
225,28.1666,28.3504,27.7257,29.1842,29.9200,31.3566,30.6739,30.5559,31.9712,34.4978
226,40.0281,40.5695,30.1666,40.1078,41.1743,31.3950,30.7177,30.5542,32.0072,34.5274
227,39.8413,40.2197,32.2344,39.8720,40.5436,31.4322,30.7596,30.5616,32.0418,34.5539
228,45.7440,45.7607,37.8887,45.5076,45.5076,31.4950,30.8254,30.5937,32.1009,34.6019
229,47.2650,47.3781,46.1277,47.5506,47.8141,31.5638,30.8976,30.6616,32.1684,34.6596
230,45.1936,45.6106,46.2424,45.8260,45.8672,31.6231,30.9616,30.7293,32.2278,34.7084
231,44.3980,44.9659,45.6507,44.7859,45.1233,31.6784,31.0222,30.7939,32.2821,34.7534
232,35.3869,35.7245,36.5038,36.0001,36.0001,31.6944,31.0425,30.8185,32.2981,34.7588
233,34.2846,35.4473,35.9584,35.4151,36.4553,31.7055,31.0614,30.8406,32.3115,34.7661
234,32.6852,33.1282,34.2192,33.1384,33.1384,31.7097,31.0702,30.8550,32.3151,34.7591
235,31.4609,31.9968,32.7228,31.8845,32.0546,31.7086,31.0742,30.8630,32.3132,34.7476
236,31.3326,31.8197,32.2962,31.7107,31.9248,31.7070,31.0773,30.8690,32.3107,34.7357
237,32.6486,33.5044,31.6147,33.5521,33.8871,31.7110,31.0876,30.8722,32.3159,34.7321
238,32.5104,33.3694,30.8664,33.9410,34.1810,31.7143,31.0972,30.8722,32.3227,34.7298
239,34.9378,38.5705,35.8877,35.1630,36.5110,31.7278,31.1284,30.8931,32.3346,34.7372
240,35.0219,39.2447,37.4996,35.9459,37.4995,31.7416,31.1623,30.9207,32.3497,34.7487
241,32.3465,37.1850,36.7790,34.9023,35.8285,31.7441,31.1873,30.9450,32.3603,34.7532
242,20.6606,27.2899,28.4990,22.9530,24.0114,31.6983,31.1711,30.9349,32.3214,34.7088
243,20.6912,27.2697,30.3699,22.9670,24.0171,31.6530,31.1551,30.9325,32.2829,34.6648
244,20.6524,25.9211,29.2945,22.6231,23.1930,31.6079,31.1336,30.9258,32.2433,34.6178
245,20.7484,25.9495,29.4638,22.4627,23.1198,31.5636,31.1125,30.9199,32.2034,34.5709
246,20.6800,25.8461,29.4655,22.2840,22.9445,31.5193,31.0911,30.9140,32.1631,34.5236
247,20.6800,24.5386,29.2945,22.2840,22.9445,31.4754,31.0645,30.9074,32.1231,34.4767
248,20.5981,25.2366,29.7467,23.0222,23.6709,31.4316,31.0410,30.9027,32.0864,34.4332
249,20.8703,27.0281,30.1915,23.5487,24.2359,31.3892,31.0249,30.8999,32.0521,34.3922
250,20.9220,25.7999,30.1837,23.5835,24.2665,31.3473,31.0040,30.8970,32.0182,34.3517
251,20.8843,26.4707,29.8170,23.2670,23.8900,31.3056,30.9860,30.8927,31.9833,34.3100
252,20.5869,26.2323,27.8719,23.3942,23.9725,31.2631,30.9671,30.8807,31.9493,34.2690
253,20.6936,25.8689,26.4409,23.1600,23.7153,31.2213,30.9470,30.8632,31.9145,34.2273
254,20.7049,28.2936,27.7428,25.2552,25.5974,31.1799,30.9365,30.8509,31.8883,34.1933
255,20.7049,28.3315,27.3677,25.2552,25.5974,31.1388,30.9263,30.8372,31.8623,34.1596
256,20.2231,32.8808,27.4981,25.8930,31.2716,31.0962,30.9339,30.8242,31.8390,34.1483
257,19.9936,31.7536,27.6634,28.3541,31.1491,31.0530,30.9371,30.8119,31.8254,34.1367
258,21.3824,34.4232,29.8397,30.5316,34.8362,31.0155,30.9506,30.8081,31.8204,34.1394
259,22.8314,32.0576,29.0598,30.3305,32.4553,30.9839,30.9549,30.8014,31.8146,34.1329
260,23.0382,32.0133,29.3584,30.2568,32.3760,30.9533,30.9590,30.7958,31.8086,34.1261
261,23.8682,27.7560,27.0970,27.5087,27.8413,30.9262,30.9467,30.7816,31.7922,34.1020
262,23.7206,27.7095,27.0071,26.9012,27.8319,30.8987,30.9343,30.7672,31.7735,34.0781
263,27.1743,35.0676,27.5116,32.7059,37.8215,30.8845,30.9501,30.7548,31.7771,34.0923
