Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
128,36.9682,28.9867,38.6140,33.0826,33.0826,36.9257,35.5341,34.6521,35.1740,38.7105
129,37.4482,28.8457,36.8377,32.5718,32.5718,36.9298,35.4823,34.6691,35.1539,38.6629
130,33.6872,26.3964,32.4557,29.8167,29.8167,36.9048,35.4124,34.6521,35.1128,38.5949
131,30.0883,24.7279,28.3832,28.0009,28.0009,36.8528,35.3308,34.6042,35.0585,38.5140
132,34.4847,24.1321,29.2526,25.8013,25.8013,36.8349,35.2460,34.5637,34.9884,38.4177
133,44.6840,29.2557,32.3783,23.7046,23.7046,36.8939,35.2010,34.5472,34.9035,38.3071
134,60.4905,57.2524,39.2731,57.3176,58.2173,37.0700,35.3655,34.5825,35.0708,38.4556
135,39.1783,36.0376,42.1884,39.8280,40.0153,37.0856,35.3705,34.6388,35.1061,38.4672
136,26.6087,21.9831,33.0636,26.3716,26.6313,37.0085,35.2721,34.6272,35.0418,38.3802
137,29.7272,25.3899,27.3613,28.1517,28.7113,36.9554,35.1999,34.5742,34.9915,38.3096
138,32.8435,29.3539,21.0092,31.7635,32.6289,36.9256,35.1576,34.4759,34.9681,38.2684
139,34.4790,33.4419,20.6553,30.6795,32.0963,36.9080,35.1452,34.3765,34.9373,38.2240
140,33.4510,28.4908,19.7178,31.1887,32.1562,36.8833,35.0977,34.2718,34.9105,38.1807
141,29.7062,27.3645,21.7150,27.7119,27.7119,36.8324,35.0429,34.1827,34.8595,38.1064
142,23.2457,21.9115,21.6626,22.4917,26.3865,36.7367,34.9504,34.0946,34.7724,38.0239
143,23.5676,21.9726,19.1953,22.0052,23.8337,36.6446,34.8596,33.9904,34.6831,37.9247
144,30.7461,23.0223,17.5117,23.2044,24.5111,36.6037,34.7774,33.8759,34.6034,37.8315
145,20.7680,17.1208,14.8013,15.0973,15.0973,36.4945,34.6557,33.7444,34.4688,37.6747
146,28.3205,19.7858,13.9316,18.1532,20.8542,36.4385,34.5538,33.6087,34.3571,37.5595
147,28.0081,16.2013,17.5317,17.6261,18.7005,36.3811,34.4290,33.4993,34.2433,37.4312
148,23.9796,17.7849,20.4469,18.6502,19.7186,36.2973,34.3165,33.4111,34.1379,37.3115
149,24.3525,21.1190,23.9932,22.1665,23.3260,36.2172,34.2279,33.3479,34.0576,37.2177
150,24.8416,22.8110,23.5897,25.3741,25.8895,36.1413,34.1518,33.2829,33.9997,37.1422
151,25.0672,23.6880,22.8235,25.9746,25.9746,36.0680,34.0825,33.2136,33.9465,37.0682
