Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
178,24.4125,22.9156,22.7580,22.5218,22.5471,39.6046,37.5218,36.4825,34.7779,36.0073
179,33.0797,33.6535,22.0196,32.7280,35.4695,39.5681,37.5002,36.4017,34.7665,36.0043
180,25.8223,25.5392,23.7239,25.2098,25.3116,39.4918,37.4338,36.3312,34.7134,35.9449
181,29.6800,29.8980,28.2612,29.3985,30.0024,39.4376,37.3921,36.2867,34.6840,35.9121
182,30.0137,30.0478,28.3049,29.6095,30.1479,39.3858,37.3518,36.2428,34.6561,35.8804
183,27.6355,26.0980,31.3836,26.6397,31.1203,39.3216,37.2903,36.2162,34.6123,35.8544
184,23.6028,23.2467,34.3552,24.2141,24.2141,39.2361,37.2140,36.2061,34.5558,35.7911
185,35.8080,34.2221,32.9316,32.9684,37.4975,39.2176,37.1978,36.1884,34.5472,35.8003
186,46.9673,45.6942,41.8546,42.4417,49.0060,39.2593,37.2435,36.2189,34.5897,35.8713
187,48.4400,47.7211,42.9512,47.3094,49.3465,39.3084,37.2995,36.2549,34.6577,35.9434
188,49.7773,48.6061,44.1704,48.6721,48.7398,39.3641,37.3596,36.2970,34.7322,36.0115
189,49.7101,48.5366,46.2686,48.5610,48.6114,39.4188,37.4188,36.3498,34.8054,36.0781
190,45.2822,43.8146,45.1616,43.9624,44.2038,39.4497,37.4524,36.3961,34.8536,36.1209
191,46.0150,45.1158,46.2950,44.8675,45.0587,39.4840,37.4926,36.4480,34.9060,36.1677
192,44.4266,43.5898,46.4310,43.2665,43.4933,39.5098,37.5243,36.5000,34.9496,36.2059
193,45.9398,45.2965,47.5641,45.3354,45.6128,39.5431,37.5646,36.5573,35.0034,36.2546
194,45.7358,44.8280,48.9579,44.7968,45.0374,39.5750,37.6020,36.6212,35.0539,36.2999
195,43.9193,43.1450,48.5860,43.1611,43.6274,39.5973,37.6304,36.6826,35.0954,36.3374
196,42.0646,40.5825,46.9723,40.9053,40.9924,39.6099,37.6455,36.7351,35.1251,36.3612
197,42.6853,41.2026,47.0053,41.5791,41.5791,39.6255,37.6636,36.7872,35.1578,36.3877
198,44.3524,42.9209,46.7666,42.8600,42.9113,39.6494,37.6901,36.8376,35.1967,36.4206
199,42.5153,40.8280,45.7581,39.5921,40.9310,39.6638,37.7059,36.8824,35.2188,36.4433
200,45.4908,43.8225,47.4715,42.6714,44.1995,39.6929,37.7365,36.9354,35.2561,36.4821
201,45.4190,43.9112,46.5845,43.3552,44.2918,39.7214,37.7672,36.9834,35.2964,36.5209
202,44.2250,43.0497,45.6198,43.3563,44.0764,39.7437,37.7933,37.0261,35.3363,36.5583
203,44.1511,42.9892,44.5865,43.3349,44.0638,39.7654,37.8189,37.0634,35.3757,36.5953
204,44.1511,42.9892,44.2239,43.3349,44.0638,39.7869,37.8443,37.0985,35.4147,36.6319
205,42.0282,41.5324,44.6431,37.3159,44.1456,39.7978,37.8623,37.1353,35.4240,36.6686
206,41.9982,41.7017,43.2638,40.4020,43.9334,39.8085,37.8809,37.1650,35.4481,36.7038
207,42.9031,42.3570,43.7027,40.5955,44.4867,39.8235,37.9025,37.1966,35.4730,36.7414
208,41.4077,41.4597,42.1182,40.9432,42.8628,39.8311,37.9196,37.2203,35.4993,36.7709
209,43.7774,44.0733,44.0286,41.0704,47.1290,39.8500,37.9491,37.2529,35.5260,36.8204
210,42.6702,42.9330,42.8933,39.9230,45.8701,39.8634,37.9728,37.2797,35.5469,36.8635
211,42.8230,43.1401,43.5386,40.7157,46.2057,39.8774,37.9973,37.3094,35.5714,36.9078
212,43.6494,44.0377,44.2295,41.4158,46.8084,39.8952,38.0258,37.3420,35.5990,36.9545
213,43.8546,44.2408,44.4325,41.6566,46.9831,39.9138,38.0550,37.3753,35.6274,37.0016
214,43.1473,43.5190,43.7322,40.8660,46.2335,39.9289,38.0805,37.4050,35.6519,37.0447
215,43.1792,43.6599,43.5950,40.9286,46.2163,39.9440,38.1065,37.4338,35.6764,37.0874
216,43.1109,43.4120,43.5948,40.6583,46.1794,39.9587,38.1310,37.4623,35.6995,37.1295
217,43.0584,43.4171,43.6000,38.9701,46.8061,39.9730,38.1554,37.4906,35.7146,37.1741
218,40.8967,37.3022,41.4242,22.4211,48.8147,39.9772,38.1515,37.5087,35.6536,37.2275
219,44.7649,39.6337,41.0696,28.6943,52.0158,39.9991,38.1582,37.5249,35.6218,37.2950
220,25.4946,22.6969,32.7482,22.0958,37.9471,39.9331,38.0880,37.5032,35.5603,37.2979
221,27.2384,27.6916,23.6086,25.5110,28.7360,39.8757,38.0409,37.4403,35.5149,37.2592
222,27.2822,23.9732,21.1901,18.6659,33.9302,39.8190,37.9775,37.3671,35.4390,37.2442
223,16.8710,13.6753,21.0388,10.2739,29.9629,39.7161,37.8686,37.2939,35.3261,37.2116
224,13.0301,13.0891,17.8142,7.4243,24.9957,39.5969,37.7579,37.2069,35.2015,37.1570
225,10.5410,12.6407,17.8836,6.9748,23.0803,39.4678,37.6463,37.1211,35.0761,37.0945
226,6.0498,6.0498,6.0514,6.0498,6.0498,39.3199,37.5065,36.9836,34.9477,36.9571
227,5.6563,5.6563,5.6571,5.6563,5.6563,39.1716,37.3662,36.8456,34.8186,36.8192
228,5.7603,5.7603,5.7603,5.7603,5.7603,39.0251,37.2276,36.7092,34.6912,36.6830
229,5.7603,5.7603,5.7603,5.7603,5.7603,38.8798,37.0902,36.5741,34.5648,36.5479
230,5.7603,5.7603,5.7603,5.7603,5.7603,38.7358,36.9539,36.4401,34.4396,36.4141
231,5.7603,5.7603,5.7603,5.7603,5.7603,38.5931,36.8189,36.3073,34.3155,36.2814
232,5.8080,5.8080,5.8080,5.8080,5.8080,38.4518,36.6852,36.1758,34.1926,36.1500
233,5.8080,5.8080,5.8080,5.8080,5.8080,38.3117,36.5527,36.0455,34.0708,36.0198
234,5.6223,5.6223,5.6223,5.6223,5.6223,38.1720,36.4205,35.9155,33.9492,35.8899
235,5.6223,5.6223,5.6223,5.6223,5.6223,38.0334,36.2895,35.7866,33.8286,35.7611
236,5.6223,5.6223,5.6223,5.6223,5.6223,37.8961,36.1595,35.6588,33.7091,35.6334
237,5.6223,5.6223,5.6223,5.6223,5.6223,37.7599,36.0307,35.5320,33.5906,35.5068
238,7.7054,7.7054,7.7054,7.7054,7.7054,37.6337,35.9117,35.4151,33.4818,35.3900
239,10.3997,10.3997,10.3997,10.3997,10.3997,37.5197,35.8049,35.3105,33.3853,35.2854
240,7.8144,7.8144,7.8144,7.8144,7.8144,37.3959,35.6883,35.1959,33.2787,35.1709
241,7.8144,7.8144,7.8144,7.8144,7.8144,37.2732,35.5726,35.0823,33.1731,35.0574
242,6.6204,6.6204,6.7527,6.6204,6.6204,37.1465,35.4530,34.9652,33.0633,34.9399
243,6.6712,6.6711,6.7661,6.6712,6.6712,37.0211,35.3346,34.8492,32.9547,34.8236
244,5.9401,5.9397,6.1097,5.9365,5.9405,36.8937,35.2141,34.7314,32.8440,34.7052
245,5.9400,5.9399,6.0519,5.9362,5.9405,36.7674,35.0946,34.6143,32.7342,34.5878
246,5.2029,5.2035,5.7352,5.1592,5.2139,36.6391,34.9731,34.4969,32.6221,34.4684
